id,org,station,lat,lon,begperiod,Sample,Radionuclide,Dt,Dt_unc,ND,Unit
257,MOE,,37.425,141.05,2023/01/13,Angelfish,H-3:TFWT,0.078,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/01/13,Goosefish,H-3:TFWT,0.06,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/01/13,Olive flounder,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/01/13,Angelfish,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/01/13,Goosefish,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2023/01/13,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/01/13,Angelfish,H-3:OBT,,,0.06,Bq/kg-fresh
257,MOE,,37.425,141.05,2023/01/13,Goosefish,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/12/16,Olive flounder,H-3:TFWT,0.044,,,Bq/L
257,MOE,,37.425,141.05,2022/12/16,Angelfish,H-3:TFWT,0.059,,,Bq/L
257,MOE,,37.425,141.05,2022/12/16,Bluefin searobin,H-3:TFWT,0.076,,,Bq/L
257,MOE,,37.425,141.05,2022/12/16,Olive flounder,H-3:TFWT,0.035,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/12/16,Angelfish,H-3:TFWT,0.045,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/12/16,Bluefin searobin,H-3:TFWT,0.059,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/12/16,Olive flounder,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2022/12/16,Angelfish,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2022/12/16,Bluefin searobin,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2022/12/16,Olive flounder,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/12/16,Angelfish,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/12/16,Bluefin searobin,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/10/22,Olive flounder,H-3:TFWT,0.13,,,Bq/L
257,MOE,,37.425,141.05,2022/10/22,Red sea bream,H-3:TFWT,0.13,,,Bq/L
257,MOE,,37.425,141.05,2022/10/22,Japanese eagle ray,H-3:TFWT,0.18,,,Bq/L
257,MOE,,37.425,141.05,2022/10/22,Olive flounder,H-3:TFWT,0.1,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/10/22,Red sea bream,H-3:TFWT,0.099,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/10/22,Japanese eagle ray,H-3:TFWT,0.14,,,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/10/22,Olive flounder,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2022/10/22,Red sea bream,H-3:OBT,,,0.4,Bq/L
257,MOE,,37.425,141.05,2022/10/22,Japanese eagle ray,H-3:OBT,,,0.3,Bq/L
257,MOE,,37.425,141.05,2022/10/22,Olive flounder,H-3:OBT,,,0.04,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/10/22,Red sea bream,H-3:OBT,,,0.05,Bq/kg-fresh
257,MOE,,37.425,141.05,2022/10/22,Japanese eagle ray,H-3:OBT,,,0.05,Bq/kg-fresh
258,MOE,,37.4130444444,141.0436638889,2024/11/06,Olive flounder,H-3:TFWT,0.74,,,Bq/L
258,MOE,,37.4130444444,141.0436638889,2024/11/06,Angelfish,H-3:TFWT,0.72,,,Bq/L
258,MOE,,37.4130444444,141.0436638889,2024/11/06,Browneye skate,H-3:TFWT,0.72,,,Bq/L
258,MOE,,37.4130444444,141.0436638889,2024/11/06,Olive flounder,H-3:TFWT,0.57,,,Bq/kg-fresh
258,MOE,,37.4130444444,141.0436638889,2024/11/06,Angelfish,H-3:TFWT,0.56,,,Bq/kg-fresh
