File Creation Date,2025-05-28
Sampling Location,3km offshore of Odaka District (T-14)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2023/5/22 7:39,,0.0014,0.0037,,2023/5/1 7:36,,0.0014,0.0048,
2023/5/1 7:36,,0.0014,0.0036,,2023/4/18 7:28,,0.0014,0.0029,
2023/4/18 7:28,,0.0014,0.0029,,2023/4/10 7:27,,0.0014,0.0093,
2023/4/10 7:27,,0.0014,0.0036,,2023/4/5 7:23,,0.0014,0.0045,
2023/4/5 7:23,,0.0014,0.0043,,2023/3/30 7:42,,0.0014,0.0025,
2023/3/30 7:42,,0.0014,0.0028,,2023/3/22 7:31,,0.0014,0.0043,
2023/3/22 7:31,,0.0014,0.0053,,2023/3/15 7:48,,0.0014,0.0029,
2023/3/15 7:48,,0.0014,0.0035,,2023/3/6 7:37,,0.0014,0.0028,
2023/3/6 7:37,,0.0014,0.0021,,2023/3/1 7:41,,0.0014,0.0034,
2023/3/1 7:41,,0.0014,0.0032,,2023/2/23 7:40,,0.0014,0.0034,
2023/2/23 7:40,,0.0014,0.0025,,2023/2/6 7:47,,0.0014,0.0027,
2023/2/6 7:47,,0.0014,0.0023,,2023/2/3 8:41,,0.0014,0.0025,
2023/2/3 8:41,,0.0014,0.0021,,2023/1/27 7:39,,0.0014,0.0025,
2023/1/27 7:39,,0.0014,0.0017,,2023/1/5 7:46,,0.0014,0.0027,
2023/1/5 7:46,,0.0014,0.0025,,2022/12/20 7:44,,0.0014,0.0021,
2022/12/20 7:44,,0.0014,0.0021,,2022/12/17 7:51,,0.0013,0.0026,
2022/12/17 7:51,,0.0014,0.0028,,2022/12/10 7:33,,0.0014,0.0044,
2022/12/10 7:33,,0.0014,0.0051,,2022/11/15 8:01,,0.0014,0.0036,
2022/11/15 8:01,,0.0014,0.0029,,2022/11/7 7:30,,0.0014,0.0089,
2022/11/7 7:30,,0.0014,0.0071,,2022/11/5 7:31,,0.0014,0.011,
2022/11/5 7:31,,0.0014,0.0054,,2022/10/29 7:48,,0.0014,0.0043,
2022/10/29 7:48,,0.0013,0.0037,,2022/10/20 7:44,,0.0014,0.0019,
2022/10/20 7:44,,0.0014,0.0025,,2022/9/26 7:55,,0.0013,0.0021,
2022/9/26 7:55,,0.0014,0.0023,,2022/9/15 7:57,,0.0014,0.0024,
2022/9/15 7:57,,0.0014,0.0021,,2022/9/5 7:23,,0.0014,0.0023,
2022/9/5 7:23,,0.0014,0.0024,,2022/9/3 7:30,,0.0014,0.0033,
2022/9/3 7:30,,0.0014,0.0033,,2022/8/22 7:39,,0.0014,0.0028,
2022/8/22 7:39,,0.0014,0.0023,,2022/8/17 7:24,,0.0014,0.0025,
2022/8/17 7:24,,0.0014,0.0031,,2022/8/10 7:32,,0.0014,0.0020,
2022/8/10 7:32,,0.0014,0.0017,,2022/8/1 7:39,,0.0014,0.0022,
2022/8/1 7:39,,0.0014,0.0025,,2022/7/25 7:46,,0.0014,0.0018,
2022/7/25 7:46,,0.0014,0.0016,,2022/7/19 7:44,,0.0014,0.0026,
2022/7/19 7:44,,0.0014,0.0037,,2022/7/11 7:35,,0.0014,0.0028,
2022/7/11 7:35,,0.0014,0.0022,,2022/7/4 7:33,,0.0014,0.0026,
2022/7/4 7:33,,0.0014,0.0063,,2022/6/27 7:34,,0.0014,0.0014,
2022/6/27 7:34,,0.0014,0.0032,,2022/6/20 7:33,,0.0014,0.0024,
2022/6/20 7:33,,0.0014,0.0033,,2022/6/17 7:37,,0.0014,0.0037,
2022/6/17 7:37,,0.0014,0.0041,,2022/6/10 7:47,,0.0014,0.0054,
2022/6/10 7:47,,0.0014,0.0055,,2022/6/1 7:45,,0.0014,0.0039,
2022/6/1 7:45,,0.0014,0.0027,,2022/5/26 7:57,,0.0014,0.0051,
2022/5/26 7:57,,0.0014,0.0057,,2022/5/16 7:42,,0.0014,0.0033,
2022/5/16 7:42,,0.0014,0.0026,,2022/5/9 7:41,,0.0014,0.0030,
2022/5/9 7:41,,0.0014,0.0021,,2022/5/7 7:35,,0.0014,0.0042,
2022/5/7 7:35,,0.0014,0.0075,,2022/4/25 7:42,,0.0014,0.0025,
2022/4/25 7:42,,0.0014,0.0021,,2022/4/19 7:42,,0.0014,0.0050,
2022/4/19 7:42,,0.0014,0.0020,,2022/4/11 7:59,,0.0014,0.0025,
2022/4/11 7:59,,0.0014,0.0036,,2022/4/8 7:40,,0.0014,0.0029,
