begperiod,station,org,depth,Cs-134,Cs-134_nd,Cs-137,Cs-137_nd,H-3,H-3_nd,lon,lat
2023-10-13 00:00,E-S3,MOE,Bottom,,,,,1.1,,141.0397,37.44111
2023-11-01 00:00,E-S3,MOE,Top,,,,,0.12,,141.0397,37.44111
2023-11-01 00:00,E-S3,MOE,Bottom,,,,,0.11,,141.0397,37.44111
2023-11-14 00:00,E-S3,MOE,Top,,,,,3.5,,141.0397,37.44111
2023-11-14 00:00,E-S3,MOE,Bottom,,,,,3.5,,141.0397,37.44111
2023-12-15 00:00,E-S3,MOE,Top,,,,,0.094,,141.0397,37.44111
2023-12-15 00:00,E-S3,MOE,Bottom,,,,,0.11,,141.0397,37.44111
2024-01-18 00:00,E-S3,MOE,Top,,,,,0.13,,141.0397,37.44111
2024-01-18 00:00,E-S3,MOE,Bottom,,,,,0.1,,141.0397,37.44111
2024-01-31 00:00,E-S3,MOE,Top,,,,,,0.05,141.0397,37.44111
2024-01-31 00:00,E-S3,MOE,Bottom,,,,,0.073,,141.0397,37.44111
2024-03-04 00:00,E-S3,MOE,Top,,,,,0.85,,141.0397,37.44111
2024-03-04 00:00,E-S3,MOE,Bottom,,,,,0.91,,141.0397,37.44111
2022-06-23 00:00,E-S5,MOE,Surface,,,,,0.098,,141.0462,37.43289
2022-06-23 00:00,E-S5,MOE,Bottom,,,,,0.089,,141.0462,37.43289
2022-08-24 00:00,E-S5,MOE,Surface,,,,,0.089,,141.0462,37.43289
2022-08-24 00:00,E-S5,MOE,Bottom,,,,,0.078,,141.0462,37.43289
2022-10-28 00:00,E-S5,MOE,Surface,,,,,0.16,,141.0462,37.43289
2022-10-28 00:00,E-S5,MOE,Bottom,,,,,0.099,,141.0462,37.43289
2023-01-17 00:00,E-S5,MOE,Surface,,,,,0.077,,141.0462,37.43289
2023-01-17 00:00,E-S5,MOE,Bottom,,,,,0.095,,141.0462,37.43289
2023-05-30 00:00,E-S5,MOE,Surface,,,,,0.091,,141.0462,37.43289
2023-05-30 00:00,E-S5,MOE,Bottom,,,,,0.064,,141.0462,37.43289
