File Creation Date,2025-08-18
Sampling Location,Around 3km offshore of  1F site (T-S4) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/7/4,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-134,,5.8,Bq/kg-fresh
2024/7/4,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/7/4,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/7/4,Crimson sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/7/4,John dory (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/7/4,Stone flounder (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/7/4,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2024/7/4,Searobin (muscle),Cs-137,,2.9,Bq/kg-fresh
2024/7/4,Red sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/7/4,Crimson sea bream (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/7/4,John dory (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/7/4,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2024/7/4,Flatfish (muscle),H-3:TFWT,,0.054,Bq/kg-fresh
2024/7/4,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/7/4,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/6/13,Stone flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/13,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/6/13,Flatfish (muscle),Cs-134,,6.3,Bq/kg-fresh
2024/6/13,Searobin (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/6/13,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/6/13,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/13,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/13,Stone flounder (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/6/13,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/13,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2024/6/13,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/6/13,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/13,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/13,Red sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/13,Flatfish (muscle),H-3:TFWT,,0.070,Bq/L
2024/6/13,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2024/6/13,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/6/13,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2024/5/9,Searobin (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/5/9,Microstomus achne (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/5/9,Blue crab (whole),Cs-134,,3.7,Bq/kg-fresh
2024/5/9,Pitted stingray (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/5/9,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/5/9,Microstomus achne (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/9,Blue crab (whole),Cs-137,,3.8,Bq/kg-fresh
2024/5/9,Pitted stingray (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/12,Stone flounder (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/12,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/12,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/12,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/12,Roundnose flounder (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/4/12,Yellow goosefish (whole),Cs-134,,3.2,Bq/kg-fresh
2024/4/12,Smooth dogfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/4/12,Stone flounder (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/12,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/12,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/12,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/4/12,Roundnose flounder (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/12,Yellow goosefish (whole),Cs-137,,3.2,Bq/kg-fresh
2024/4/12,Smooth dogfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/3/5,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/3/5,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/3/5,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/3/5,Microstomus achne (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/3/5,Fox jacopever (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/3/5,Flatfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/3/5,Roundnose flounder (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/3/5,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/3/5,Microstomus achne (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/3/5,Fox jacopever (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/2/8,Lepidotrigla microptena (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/2/8,Searobin (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/2/8,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
