File Creation Date,2025-08-08
Sampling Location,Around 3km offshore of Ukedo River (T-S3) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/6/30,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/6/30,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2023/6/30,Searobin (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/6/30,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2023/6/30,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2023/6/30,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/6/30,Flatfish (muscle),H-3:OBT,,0.036,Bq/kg-fresh
2023/5/31,Common skete (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/5/31,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/5/31,Searobin (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/5/31,Japanese angel shark  (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/5/31,Marbled sole (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/5/31,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/5/31,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/5/31,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/5/31,Japanese angel shark  (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/5/31,Marbled sole (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/4/28,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-134,,6.4,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/4/28,Blue crab (whole),Cs-134,,3.2,Bq/kg-fresh
2023/4/28,Black rockfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/4/28,Flathead (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/4/28,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/4/28,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/4/28,Blue crab (whole),Cs-137,,3.2,Bq/kg-fresh
2023/4/28,Black rockfish (muscle),Cs-137,,4.4,Bq/kg-fresh
2023/4/28,Flathead (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/4/28,Flatfish (muscle),H-3:TFWT,,0.079,Bq/L
2023/4/28,Flatfish (muscle),H-3:TFWT,,0.060,Bq/kg-fresh
2023/4/28,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/4/28,Flatfish (muscle),H-3:OBT,,0.043,Bq/kg-fresh
2023/3/23,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2023/3/23,Marbled sole (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/3/23,Microstomus achne (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/3/23,Flatfish (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/3/23,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/3/23,Microstomus achne (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/3/23,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2023/3/23,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
2023/3/23,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/3/23,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/2/10,Common skete (muscle),Cs-134,,4.3,Bq/kg-fresh
2023/2/10,Japanese angel shark  (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/2/10,Marbled sole (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/2/10,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/2/10,Japanese angel shark  (muscle),Cs-137,3.7,,Bq/kg-fresh
2023/2/10,Marbled sole (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/1/13,Flatfish (muscle),Cs-134,,6.1,Bq/kg-fresh
2023/1/13,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/1/13,Searobin (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/1/13,Ridged-eye flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/1/13,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2023/1/13,Roundnose flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/1/13,Searobin (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/1/13,Ridged-eye flounder (muscle),Cs-137,,2.9,Bq/kg-fresh
2023/1/13,Flatfish (muscle),H-3:TFWT,0.17,,Bq/L
2023/1/13,Flatfish (muscle),H-3:TFWT,0.14,,Bq/kg-fresh
2023/1/13,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/1/13,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2022/12/22,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2022/12/22,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/12/22,Flatfish (muscle),Cs-137,,5.3,Bq/kg-fresh
