File Creation Date,2024-12-09
Sampling Location,Around 2km offshore of Kido River (T-S5) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/9/15,Flatfish (muscle),Cs-137,,5.1,Bq/kg-fresh
2023/9/15,Black rockfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/9/15,Red sea bream (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/9/15,Stingray (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/9/15,Japanese eagle ray (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/9/15,Flatfish (muscle),H-3:TFWT,0.088,,Bq/L
2023/9/15,Flatfish (muscle),H-3:TFWT,0.067,,Bq/kg-fresh
2023/9/15,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/9/15,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-134,,5.6,Bq/kg-fresh
2023/8/24,Red sea bream (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-137,,6.4,Bq/kg-fresh
2023/8/24,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/8/24,Flatfish (muscle),H-3:TFWT,0.10,,Bq/L
2023/8/24,Flatfish (muscle),H-3:TFWT,0.079,,Bq/kg-fresh
2023/8/24,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/8/24,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-134,,6.0,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-137,,5.9,Bq/kg-fresh
2023/7/19,Flatfish (muscle),H-3:TFWT,,0.065,Bq/L
2023/7/19,Flatfish (muscle),H-3:TFWT,,0.051,Bq/kg-fresh
2023/7/19,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/7/19,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2023/6/29,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/6/29,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/6/29,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2023/6/29,Microstomus achne (muscle),Cs-134,,4.5,Bq/kg-fresh
2023/6/29,Smooth dogfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2023/6/29,Pitted stingray (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/6/29,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/6/29,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/6/29,Flatfish (muscle),Cs-137,,4.7,Bq/kg-fresh
2023/6/29,Microstomus achne (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/6/29,Smooth dogfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/6/29,Pitted stingray (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/6/29,Flatfish (muscle),H-3:TFWT,,0.075,Bq/L
2023/6/29,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
