File Creation Date,2025-12-05
Sampling Location,Around 15km offshore of Odakaku (T-B1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/12/17,Ridged-eye flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/12/17,Takifugu snyderi (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/12/17,Crimson sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/12/17,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/12/17,John dory (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/12/17,Smooth dogfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/11/12,Lepidotrigla microptena (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/11/12,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/11/12,Searobin (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/11/12,White croaker (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/11/12,Takifugu snyderi (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/11/12,Crimson sea bream (muscle),Cs-134,,2.6,Bq/kg-fresh
2024/11/12,Japanese angel shark  (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/11/12,Lepidotrigla microptena (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/11/12,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/11/12,Searobin (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/11/12,White croaker (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/11/12,Takifugu snyderi (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/11/12,Crimson sea bream (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/11/12,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/10/22,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/22,Searobin (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/10/22,Takifugu snyderi (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/22,Crimson sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/10/22,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/10/22,Searobin (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/10/22,Takifugu snyderi (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/10/22,Crimson sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/10/1,Lepidotrigla microptena (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/1,Marbled sole (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/10/1,Takifugu snyderi (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/10/1,Crimson sea bream (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/10/1,Red sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/10/1,John dory (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/10/1,Smooth dogfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/10/1,Lepidotrigla microptena (muscle),Cs-137,3.9,,Bq/kg-fresh
2024/10/1,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/10/1,Takifugu snyderi (muscle),Cs-137,,2.8,Bq/kg-fresh
2024/10/1,Crimson sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/10/1,Red sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/10/1,John dory (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/10/1,Smooth dogfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/9/10,Lepidotrigla microptena (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/9/10,Common skete (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/9/10,Marbled sole (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/9/10,Takifugu snyderi (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/9/10,Crimson sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/9/10,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/9/10,John dory (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/9/10,Lepidotrigla microptena (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/9/10,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/9/10,Marbled sole (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/9/10,Takifugu snyderi (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/9/10,Crimson sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/9/10,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/9/10,John dory (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/25,Lepidotrigla microptena (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/6/25,Common skete (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/6/25,Flatfish (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/6/25,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/6/25,Marbled sole (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/6/25,Roundnose flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/6/25,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/25,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/6/25,Hairtail (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/25,Lepidotrigla microptena (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/25,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/6/25,Flatfish (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/6/25,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/6/25,Marbled sole (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/25,Roundnose flounder (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/6/25,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/25,John dory (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/6/25,Hairtail (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/6/25,Flatfish (muscle),H-3:TFWT,,0.079,Bq/L
2024/6/25,Flatfish (muscle),H-3:TFWT,,0.059,Bq/kg-fresh
2024/6/25,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/6/25,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/6/11,Lepidotrigla microptena (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/6/11,Yellow goosefish (whole),Cs-134,,4.1,Bq/kg-fresh
2024/6/11,Common skete (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/6/11,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/11,Marbled sole (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/11,Roundnose flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/6/11,White croaker (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/6/11,Takifugu snyderi (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/6/11,Crimson sea bream (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/6/11,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/6/11,John dory (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/6/11,Jack mackerel (muscle),Cs-134,,4.5,Bq/kg-fresh
2024/6/11,Lepidotrigla microptena (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/6/11,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2024/6/11,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/6/11,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/11,Marbled sole (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/6/11,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/11,White croaker (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/6/11,Takifugu snyderi (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/11,Crimson sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/6/11,Red sea bream (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/6/11,John dory (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/11,Jack mackerel (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/5/28,Lepidotrigla microptena (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/5/28,Yellow goosefish (whole),Cs-134,,4.2,Bq/kg-fresh
2024/5/28,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/5/28,Sea bass (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/5/28,Flatfish (muscle),Cs-134,,3.1,Bq/kg-fresh
