File Creation Date,2025-02-27
Sampling Location,Around 1km offshore of Ota River (T-S1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/4/3,Lepidotrigla microptena (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/4/3,Drumfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/3,Black sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/4/3,Marbled sole (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/3,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/3,Flatfish (muscle),Cs-137,,5.4,Bq/kg-fresh
2024/4/3,Roundnose flounder (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/4/3,Lepidotrigla microptena (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/3,Drumfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/3,Black sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/3,Flatfish (muscle),H-3:TFWT,0.097,,Bq/L
2024/4/3,Flatfish (muscle),H-3:TFWT,0.077,,Bq/kg-fresh
2024/4/3,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/4/3,Flatfish (muscle),H-3:OBT,,0.031,Bq/kg-fresh
2024/1/20,Marbled sole (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/20,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/20,Marbled sole (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/1/20,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-134,,5.7,Bq/kg-fresh
2023/12/21,Roundnose flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/21,Lepidotrigla microptena (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/12/21,Japanese angel shark  (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/21,Flathead (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-137,,5.4,Bq/kg-fresh
2023/12/21,Roundnose flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/12/21,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/12/21,Japanese angel shark  (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/12/21,Flathead (muscle),Cs-137,4.7,,Bq/kg-fresh
2023/12/21,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2023/12/21,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2023/12/21,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/12/21,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/11/9,Marbled sole (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,5.9,Bq/kg-fresh
2023/11/9,Lepidotrigla microptena (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/11/9,Stone flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/11/9,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,5.0,Bq/kg-fresh
2023/11/9,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/11/9,Stone flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:TFWT,0.15,,Bq/L
2023/11/9,Flatfish (muscle),H-3:TFWT,0.11,,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/11/9,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2023/10/18,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/10/18,Marbled sole (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-134,,6.3,Bq/kg-fresh
2023/10/18,Red sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/10/18,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/10/18,Marbled sole (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-137,,4.7,Bq/kg-fresh
2023/10/18,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:TFWT,0.076,,Bq/L
2023/10/18,Flatfish (muscle),H-3:TFWT,0.058,,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/10/18,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2023/9/6,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-134,,5.9,Bq/kg-fresh
2023/9/6,Drumfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/9/6,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/6,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-137,,5.9,Bq/kg-fresh
2023/9/6,Drumfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/9/6,Red sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/9/6,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2023/9/6,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2023/9/6,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/9/6,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2023/8/3,Blue crab (whole),Cs-134,,3.3,Bq/kg-fresh
