File Creation Date,2026-01-27
Sampling Location,Around 2km offshore of 2F site (T-S7) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/8/2,Drumfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/8/2,Japanese amberjack (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/8/2,Red sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/8/2,Flatfish (muscle),H-3:TFWT,0.11,,Bq/L
2024/8/2,Flatfish (muscle),H-3:TFWT,0.081,,Bq/kg-fresh
2024/8/2,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/8/2,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2024/7/19,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/7/19,Searobin (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/7/19,Microstomus achne (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/7/19,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/7/19,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/7/19,Microstomus achne (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/7/19,Flatfish (muscle),H-3:TFWT,0.17,,Bq/L
2024/7/19,Flatfish (muscle),H-3:TFWT,0.13,,Bq/kg-fresh
2024/7/19,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/7/19,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2024/6/28,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/6/28,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/6/28,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/6/28,Black rockfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/6/28,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/6/28,Red sea bream (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/6/28,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/6/28,Flatfish (muscle),Cs-137,,2.8,Bq/kg-fresh
2024/6/28,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/28,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/6/28,Black rockfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/28,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/28,Flatfish (muscle),H-3:TFWT,0.089,,Bq/L
2024/6/28,Flatfish (muscle),H-3:TFWT,0.068,,Bq/kg-fresh
2024/6/28,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2024/6/28,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/6/7,Stone flounder (muscle),Cs-134,,4.5,Bq/kg-fresh
2024/6/7,Common skete (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/6/7,Flatfish (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/6/7,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/6/7,Microstomus achne (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/6/7,Stone flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/7,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/6/7,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/6/7,Flatfish (muscle),Cs-137,,2.8,Bq/kg-fresh
2024/6/7,Microstomus achne (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/6/7,Flatfish (muscle),H-3:TFWT,,0.088,Bq/L
2024/6/7,Flatfish (muscle),H-3:TFWT,,0.069,Bq/kg-fresh
2024/6/7,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/6/7,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2024/4/24,Common skete (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/4/24,Black rockfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/4/24,Japanese amberjack (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/24,Red sea bream (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/4/24,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/24,Black rockfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/4/24,Japanese amberjack (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/24,Red sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/6,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/4/6,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/4/6,Marbled sole (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/4/6,Black rockfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/4/6,Microstomus achne (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/6,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/6,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/6,Marbled sole (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/4/6,Black rockfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/4/6,Microstomus achne (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/2/10,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/2/10,Flatfish (muscle),Cs-134,,4.9,Bq/kg-fresh
2024/2/10,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/2/10,Searobin (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/2/10,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/2/10,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/2/10,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/2/10,Searobin (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/2/10,Flatfish (muscle),H-3:TFWT,,0.070,Bq/L
2024/2/10,Flatfish (muscle),H-3:TFWT,,0.053,Bq/kg-fresh
2024/2/10,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2024/2/10,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2023/12/6,Stone flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/6,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/12/6,Searobin (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/12/6,Microstomus achne (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/12/6,Drumfish (muscle),Cs-134,,2.8,Bq/kg-fresh
2023/12/6,Stone flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/6,Common skete (muscle),Cs-137,3.4,,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/6,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/12/6,Searobin (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/12/6,Microstomus achne (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/12/6,Drumfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/12/6,Flatfish (muscle),H-3:TFWT,,0.089,Bq/L
2023/12/6,Flatfish (muscle),H-3:TFWT,,0.069,Bq/kg-fresh
2023/12/6,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2023/12/6,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/11/21,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/11/21,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/11/21,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/11/21,Searobin (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/11/21,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/11/21,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/11/21,Flatfish (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/11/21,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/11/21,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/11/21,Red sea bream (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/11/21,Flatfish (muscle),H-3:TFWT,0.24,,Bq/L
2023/11/21,Flatfish (muscle),H-3:TFWT,0.19,,Bq/kg-fresh
2023/11/21,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2023/11/21,Flatfish (muscle),H-3:OBT,,0.036,Bq/kg-fresh
2023/10/18,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-134,,5.5,Bq/kg-fresh
2023/10/18,Japanese angel shark  (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/10/18,Searobin (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/10/18,White croaker (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/10/18,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-137,,4.5,Bq/kg-fresh
2023/10/18,Japanese angel shark  (muscle),Cs-137,3.6,,Bq/kg-fresh
2023/10/18,Searobin (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/10/18,White croaker (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:TFWT,0.12,,Bq/L
2023/10/18,Flatfish (muscle),H-3:TFWT,0.091,,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/10/18,Flatfish (muscle),H-3:OBT,,0.032,Bq/kg-fresh
2023/9/15,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/9/15,Red sea bream (muscle),Cs-134,,2.7,Bq/kg-fresh
2023/9/15,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/9/15,Flatfish (muscle),Cs-137,,2.7,Bq/kg-fresh
2023/9/15,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/9/15,Flatfish (muscle),H-3:TFWT,,0.067,Bq/L
