File Creation Date,2025-01-27
Sampling Location,Around 18km offshore of Ukedo River (T-B2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/3/15,Lepidotrigla microptena (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/3/15,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/3/15,Flatfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/3/15,Common Japanese conger (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/3/15,Red sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/3/15,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/3/15,Flatfish (muscle),H-3:TFWT,0.091,,Bq/L
2024/3/15,Flatfish (muscle),H-3:TFWT,0.070,,Bq/kg-fresh
2024/3/15,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/3/15,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/1/30,Sea bass (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/1/30,Roundnose flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/1/30,Ridged-eye flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/1/30,Willowy flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/1/30,Lepidotrigla microptena (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/1/30,White croaker (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/1/30,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/1/30,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/30,Common Japanese conger (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/1/30,Sea bass (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/1/30,Roundnose flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/1/30,Ridged-eye flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/1/30,Willowy flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/1/30,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/1/30,White croaker (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/1/30,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
