File Creation Date,2025-04-17
Sampling Location,Around 4km offshore of Kumagawa (T-S8) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/5/23,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/5/23,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/5/23,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/5/23,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/23,Stingray (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/5/23,Flatfish (muscle),H-3:TFWT,0.14,,Bq/L
2024/5/23,Flatfish (muscle),H-3:TFWT,0.11,,Bq/kg-fresh
2024/5/23,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2024/5/23,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2024/4/16,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/4/16,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/4/16,Stone flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/4/16,Yellow goosefish (whole),Cs-134,,3.1,Bq/kg-fresh
2024/4/16,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/4/16,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/16,Stingray (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/4/16,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/16,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/16,Stone flounder (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/16,Yellow goosefish (whole),Cs-137,,4.1,Bq/kg-fresh
2024/4/16,Common skete (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/4/16,Japanese angel shark  (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/16,Stingray (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/16,Flatfish (muscle),H-3:TFWT,0.058,,Bq/L
2024/4/16,Flatfish (muscle),H-3:TFWT,0.046,,Bq/kg-fresh
2024/4/16,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/4/16,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2024/3/26,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/3/26,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/3/26,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/3/26,Black rockfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/3/26,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/3/26,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/3/26,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/3/26,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/3/26,Flatfish (muscle),H-3:TFWT,0.066,,Bq/L
2024/3/26,Flatfish (muscle),H-3:TFWT,0.052,,Bq/kg-fresh
2024/3/26,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/3/26,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2024/3/5,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/3/5,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/3/5,Microstomus achne (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/3/5,Searobin (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/3/5,Flatfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/3/5,Common skete (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/3/5,Microstomus achne (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/3/5,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/3/5,Flatfish (muscle),H-3:TFWT,0.087,,Bq/L
2024/3/5,Flatfish (muscle),H-3:TFWT,0.069,,Bq/kg-fresh
2024/3/5,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2024/3/5,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/1/12,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/12,Yellow goosefish (whole),Cs-134,,3.2,Bq/kg-fresh
2024/1/12,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/1/12,Microstomus achne (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/1/12,Searobin (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/1/12,Marbled sole (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/12,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/1/12,Lepidotrigla microptena (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/1/12,Yellow goosefish (whole),Cs-137,,3.6,Bq/kg-fresh
2024/1/12,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/1/12,Microstomus achne (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/1/12,Searobin (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/1/12,Marbled sole (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/1/12,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/12/8,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/12/8,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/12/8,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/12/8,Marbled sole (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/12/8,Black rockfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/12/8,Japanese angel shark  (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/12/8,Black sea bream (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/12/8,Sea raven (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/8,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/12/8,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/12/8,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/12/8,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/12/8,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/12/8,Japanese angel shark  (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/12/8,Black sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/12/8,Sea raven (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/12/8,Flatfish (muscle),H-3:TFWT,0.083,,Bq/L
2023/12/8,Flatfish (muscle),H-3:TFWT,0.062,,Bq/kg-fresh
2023/12/8,Flatfish (muscle),H-3:OBT,,0.21,Bq/L
